title,description,cuisine,ingredients,servings,cook_time,steps
Spicy Turnips(Masala Shalgam),This authentic Punjabi dish retains the natural taste of turnips.,Punjabi,"500 grams (about 20 oz.) turnips peeled chopped and washed , 2 large onions chopped , 2 tomato(es) chopped , 1 teaspoons each of grated garlic and ginger , 2 green chilli(es) chopped , 1 teaspoons each of sugar, cumin powder and coriander powder , ½ teaspoons turmeric powder , 1 cups water , 2 tablespoons butter / oil , salt to taste, finely chopped coriander leaves to garnish. ",4,21,[' Heat the butter / oil in a pressure cooker till it is medium hot. Add the chopped green chilli(es) grated ginger and garlic. Fry briefly. Add the chopped onions and saute on medium heat for 3 minutes or till the onions are lightly browned. Now add the chopped tomato(es) salt and the turmeric cumin and coriander powders. Stir fry on medium / low heat for 3 minutes or till the fat leaves the sides of the cooker. Add the chopped turnips and mix. Add the water and stir well. Close the cooker and bring to maximum pressure on high heat. Now reduce the heat and cook on low level for about 1 5 minutes. Open the cooker after all the steam has escaped. Add the sugar and very lightly mash the cooked turnips. Keep on the flame for a few minutes to dry out excess water if any. Garnish with finely chopped coriander leaves. NOTE: A heavy bottomed vessel could be used in place of the pressure cooker. The quantity of water may be more than doubled and accordingly the entire cooking process would take a longer time. ']
Bottle Gourd Yakhni(Al Yakhin),A typical Kashmiri speciality that enhances the taste of bottle gourd when fried and combined with yoghurt.,Kashmiri,"500 grams (about 20 oz.) bottle gourd peeled, cut into roundels and washed , 2 teaspoons cumin seeds , 4 cloves , ½ teaspoons each of asafoetida and dry ginger powder , 2 whole red chilli(es) , 1 teaspoons aniseed powder (saunf powder) ",4,12,[' Pat dry the bottle gourd roundels. Heat the oil for deep frying in a pan and fry the bottle gourd roundels till they are slightly browned. Drain and keep aside. Heat oil in another pan till very hot. Add the cloves asafoetida and cumin seeds. Fry on medium heat for 2 minutes or till the cumin seeds are a shade darker. Add the deep fried bottle gourd roundels aniseed powder dry ginger powder whole red chilli(es) salt and water. Let it come to a boil on high flame. Reduce the flame and keep on medium / low heat for 5 minutes or till the bottle gourd roundels are tender. Now mix in the beaten yoghurt and stir slowly till it has fully blended with the curry. Let it boil on low heat for about 5 minutes. Mix in the garam masala powder and put off the flame. ']
Whole Cauliflower in Mughlai Gravy(Gobi Musallam), Whole Cauliflower (Gobi) marinated and cooked with a spicy gravy in a typical Mughlai style.,Mughlai,"2 small sized cauliflowers (whole) , 6 cups water , 1 teaspoons each of turmeric, hot spice mix (garam masala) and red chilli powders , 2 green chilli(es) , 1 tablespoons each of ginger, garlic finely chopped , 1 teaspoons cumin seeds , 2 teaspoons coriander seeds , 1 piece cinnamon broken , 4 green cardamoms ",4,20,[' In a pan bring to boil the water along with some salt. Place the cleaned cauliflowers in hot water for about 10 minutes. Remove from water wash well and wipe dry. Heat half the oil in a heavy-bottomed pan till hot. Add the cauliflowers (flower side in oil). Cover and cook while stirring occasionally on medium level till the cauliflowers are browned lightly and cooked. Remove fried cauliflowers from the pan and keep aside. Add the remaining oil heat it till hot and fry the paste on medium level till the oil separates. Add the turmeric powder hot spice mix (garam masala) red chilli powder and fry for a few seconds. Add the tomato puree water and sprinkle salt to taste. Mix well. Reduce the flame and add the milk slowly whilst stirring to get a thick gravy. Stuff a little of this gravy in between the cauliflower florets and stems. Add some water to the remaining gravy to get a desired consistency. Add some of the chopped fresh coriander grated paneer / cottage cheese (optional) and simmer for about 5 minutes. Pour the gravy into a bowl. Now place the stuffed cauliflowers in the same pan and pour the gravy over it evenly. Cover tightly and keep on low flame for about 5 minutes or till it is heated through fully. Alternatively arrange the cauliflowers topped with gravy on a serving plate and heat through in a preheated oven. Garnish with fresh cream (optional) and finely chopped coriander leaves. ']
Moth Bean Delight(Matki Usal),"A traditional Maharashtrian preparation that is relatively simple and nutritious, yet very delicious.",Maharashtrian,"1 cups moth beans (matki) soaked in water overnight , 2 medium onions chopped , 1 teaspoons each of mustard seeds and red chilli powder , 1 teaspoons cumin seeds roasted and powdered , 4 flakes garlic chopped , 4 green chilli(es) chopped , 1 teaspoons goda masala or hot spice mix (garam masala) powder. ",4,25,[' Heat the oil drop in the mustard seeds and let them splutter. Add the chopped green chilli(es) garlic and curry leaves (optional). Stir fry for a few seconds. Now add the chopped onions and saute on medium heat for 5 minutes or till the onions are lightly browned. Add the cumin turmeric and red chilli powders. Add the hot spice mix jaggery salt tomatoes and fry till oil separates. Add the drained moth beans (matki). Mix well and add water just enough to cover this mixture. Bring to a boil. Cover and cook on medium / low heat for 20 minutes or till the moth beans are fully cooked. Garnish with coconut shavings (optional) and finely chopped coriander leaves. ']
Cottage Cheese with Bell Peppers(Paneer Jalfrazie), Cottage Cheese (Paneer) combined deliciously with colorful bell peppers give a distinct flavor and color to the dish.,Vegetarian,"400 grams cottage cheese (paneer) cut into thick long pieces , 2 medium onions thickly sliced and layers separated , 1 each of green, red and yellow bell peppers cut into thick strips , 2 tomato(es) cut into thick long strips and pulp removed , 2 green chilli(es) chopped , 1 tablespoons ginger juliennes , 1 teaspoons each of turmeric, hot spice mix (garam masala) and red chilli powders , 1 teaspoons cumin seeds , 3 tablespoons lemon juice , 2 tablespoons oil , salt to taste, finely chopped coriander leaves for garnishing ",4,8,[' Heat the oil in a heavy-bottomed pan on medium level and toss in the cumin seeds. When they begin to crackle add the ginger juliennes chopped green chillies and the sliced onions. Saute for about 2 minutes. Add the turmeric and red chilli powders. Stir well and toss in the bell peppers. Mix well and cook on medium level for about 3 minutes. Add the cottage cheese (paneer). Toss lightly. Add the salt and lemon juice. Then cook on medium level for about 3 minutes. Stir in the tomato strips and the hot spice mix (garam masala) and mix well. Garnish with finely chopped coriander leaves. ']
Curried Mushroom with Peas(Khumb Matar Masala), Mushroom (Khumb) and Peas (Matar) in a rich cashew tomato gravy.,Mughlai,"2 cups mushrooms diced , 1 cups shelled green peas , 2 cups water , 3 each of cloves and green cardamoms , 1 piece cinnamon , 1 blade of mace (optional) , 2 medium onions chopped finely , 1 tablespoons finely chopped or ground ginger and garlic , 1 cups diced tomato(es) , 1 teaspoons each of hot spice mix (garam masala) and red chilli powders , 1 teaspoons each of turmeric and coriander powders , 1 tablespoons tomato puree , 2 tablespoons cashewnuts made into a paste , 2 tablespoons butter / ghee (clarified butter) / oil , salt to taste, finely chopped coriander leaves for garnishing ",4,11,[' Heat the butter / ghee / oil in a heavy-bottomed pan on medium level and lightly fry the cinnamon cloves mace (optional) and the cardamoms. Add the chopped onions and fry for about 3 minutes or till they are golden brown. Add the ginger-garlic and fry briefly. Add all the dry spice powders and the diced tomatoes. Mix well and saute on medium level for about 3 minutes or till the fat leaves the sides of the pan. Add the salt water and bring to boil. Now add the diced mushrooms peas tomato puree and the cashewnut paste. Mix well. Cover and cook on medium level for about 5 minutes or till the peas are well cooked. Garnish with finely chopped coriander leaves. ']
Piquant Chickpeas(Chana Peshawari), Chickpeas (called chana in India) cooked traditionally by the Peshawaris (Peshawar is a place in North India) with spices and pomegranate seeds to make it tangy and piquant.,Vegetarian,"2 cups white chickpeas soaked in water overnight , 1 teaspoons tea leaves tied in a small muslin cloth , 2 medium onions chopped , 2 tomato(es) chopped , 2 green chilli(es) slit , 1 tablespoons ginger-garlic paste , 2 teaspoons each of roasted cumin seed powder and hot spice mix (garam masala) , 2 teaspoons roasted pomegranate seeds (anardana) powder , 1 tablespoons each of coriander and red chilli powders , 2 bay leaves , 1 cups water , 3 tablespoons oil , salt to taste, finely chopped coriander leaves for garnishing ",4,45,[' Place the drained chickpeas salt and tea leaves in a heavy-bottomed pan. Pour water to cover the chickpeas completely. Cook on a medium level for about 2 5 minutes or till the chickpeas are soft and dark in color. Drain and keep aside. Heat the oil in the same pan and fry the bay leaves briefly. Add the chopped onions and fry till they are brown in color. Add the green chillies ginger-garlic paste and fry briefly. Add the coriander cumin and red chilli powders. Put in the chopped tomatoes and mix well. Cook on medium level for about 10 minutes or till oil leaves the sides of the pan. Add the cooked chickpeas salt pomegranate seed powder and the water. Cook on medium level for about 10 minutes. Stir in the hot spice mix (garam masala) and mix well. Garnish with finely chopped coriander leaves. ']
Vegetables in a Spicy Gravy(Sabzi Kurma), Mixed vegetables (sabzi) in a typical South Indian spicy gravy called Kurma. A very flavorful and aromatic preparation.,Vegetarian,"3 cups chopped mixed vegetables (carrot, green beans, potato) , 1 cups shelled green peas , 2 tomato(es) chopped , 3 cups water , 2 bay leaves , 2 dry red chillies (whole) , 2 medium onions chopped , 2 tablespoons ghee (clarified butter) / butter , salt to taste, finely chopped coriander leaves for garnishing ",4,21,[' Place the vegetables in a heavy-bottomed pan and add water just enough to cover them. Bring to boil. Cover and cook on medium level for about 1 5 minutes or till the vegetables are soft and cooked. Add the chopped tomatoes and salt. Cook on low level for about 4 minutes. Add the water and bring to a boil. Add the ground paste and mix well. Stir in the powdered spices and simmer for about 2 minutes. Heat the ghee / butter in a pan. Fry the bay leaves and red chillies till they are aromatic. Add the chopped onions and fry till they are very lightly browned. Pour this onto the vegetables and keep tightly covered for sometime before serving. Garnish with finely chopped coriander leaves. ']
Cottage Cheese with Black Pepper(Paneer Kali Mirch), Cottage cheese (paneer) simmered in a white gravy flavored with crushed peppercorns (kali mirch).,Vegetarian,"400 grams cottage cheese (paneer) cut into 1 cubes , 1 cups yoghurt beaten well , ½ cups coriander leaves finely chopped , 2 tablespoons mint leaves finely chopped , 1 cinnamon stick , 2 bay leaves , 3 green cardamoms and cloves each , 1 teaspoons cumin powder , 2 tablespoons coriander powder , 2 tablespoons ghee (clarified butter) / butter , salt to taste ",4,19,[' Grind the ingredients (to be ground) to a fine paste with little water. Heat the ghee / butter in a heavy-bottomed pan with a tight-fitting lid. Add the cinnamon cardamoms cloves and bay leaves. Fry for a few seconds. Add the ground paste and fry on low level for about 2 minutes. Reduce heat to minimum and add the beaten yoghurt whilst stirring. Add the coriander-cumin powders sprinkle salt to taste and cook on low level for about 2 minutes. Add the water and bring to a boil. Mix in the cottage cheese (paneer) cubes chopped coriander-mint leaves and coarsely-powdered black pepper. Stir in the fresh cream sprinkle hot spice mix cover tightly and keep on very low level (ideally on a griddle) for about 1 5 minutes. Open the lid only at serving time so that the exotic flavors of the spices are trapped inside for some time. Garnish with a sprinkle of crushed black pepper. ']
Red Kidney Beans Curry(Rajma Masala), Red kidney beans (Rajma) curry served with hot steamed rice makes for a yummy treat! It is a very popular dish specially in every home in Punjab (northern region of India).,Punjabi,"2 cups red kidney beans soaked overnight , 4 cups water , 2 medium onions finely chopped , 2 bay leaves (optional) , 1 tablespoons each of finely chopped ginger and garlic , ½ teaspoons each of asafoetida and turmeric powders , 1 teaspoons cumin seeds , 2 teaspoons red chilli powder , 2 big tomato(es) finely chopped , 1 teaspoons each of hot spice mix (garam masala) and cumin powders , 2 tablespoons coriander powder , 3 tablespoons oil , salt to taste, finely chopped coriander leaves for garnishing ",4,30,[' Drain the soaked red kidney beans and wash them well. Place them in a pressure cooker (for speedy cooking). Add the water and some salt. Close the cooker and cook on high level. After one whistle cook on low level for about 10 minutes or till the beans are soft. Heat the oil in a heavy-bottomed pan on medium level and crackle the cumin seeds. Add the bay leaves (optional) asafoetida and chopped ginger-garlic. Fry briefly. Add the chopped onions and fry till they are golden brown. Add all the spice powders except hot spice mix. Add the chopped tomatoes. Fry till the oil separates. Add the cooked red kidney beans along with its stock sprinkle salt mix well and cook on medium level for about 1 5 minutes. Add the hot spice mix. Cover and cook on medium level for about 5 minutes. Garnish with finely chopped coriander leaves. ']
Potatoes with Fresh Fenugreek(Aloo Methi), Potatoes (aloo) with fresh fenugreek leaves (methi) is a dry preparation and a winning combination very common in every north Indian home.,Punjabi,"500 grams picked fresh fenugreek leaves (methi) , 4 big potatoes unpeeled and cubed , 1 teaspoons cumin seeds , 2 teaspoons coriander seeds powdered , 2 tablespoons each of ginger and garlic finely chopped , 2 while dry red chillies roasted , 2 green chillies finely chopped , ½ teaspoons each of turmeric and asafoetida powders , 4 tablespoons butter / ghee (clarified butter) / oil , salt to taste ",4,16,[' Wash the fenugreek leaves thoroughly several times and chop them fine. Sprinkle some salt over them and keep aside for about half an hour. Heat the butter / ghee / oil in a heavy-bottomed pan on medium level and lightly fry all the spices for about 1 minutes. Add the potato cubes fenugreek leaves and adjust salt to taste. Mix well and cook covered on low level for about 1 5 minutes or till the potatoes are tender and all the water from the fenugreek leaves has evaporated. ']
Cauliflower and Potato Mix(Aloo Gobi), Cauliflower (Gobi) cooked along with Potatoes (Aloo) and spices is a dry preparation and a favorite of every north Indian.,Punjabi,"500 grams cauliflower florets , 4 big potatoes unpeeled and cubed , 1 teaspoons cumin seeds , 2 tablespoons ginger finely chopped , 4 green chillies finely chopped , 1 teaspoons turmeric powder , 2 teaspoons red chilli powder , 2 tablespoons butter / ghee (clarified butter) / oil , 2 tablespoons finely chopped fresh coriander , salt to taste ",4,16,[' Heat the butter / ghee / oil in a heavy-bottomed pan on medium level and crackle the cumin seeds. Add the ginger and saute for about a minute. Add the potato cubes and cauliflower. Mix well. Add the rest of the spices and salt to taste. Mix well and cook covered on low level for about 1 5 minutes or till the potatoes and cauliflower are cooked. Mix in the chopped fresh coriander leaves. ']
Spicy Green Gram(Chatpata Moong), Green gram (Moong) made spicy (chatpata) by stir-frying with spices. A very tasty quick-to-make Maharashtrian dish packed with nutrition.,Maharashtrian,"1 cups whole green gram soaked overnight , 2 medium onions chopped , 4 green chillies finely chopped , ½ teaspoons each of turmeric and asafoetida powders , 1 teaspoons hot spice mix (garam masala) , 2 tablespoons oil , 2 teaspoons lemon juice , salt to taste, finely chopped fresh coriander leaves to garnish ",4,12,[' Drain the soaked green gram wash well and cook with a few tablespoons of water salt and turmeric powder in a heavy-bottomed pan with a tight-fitting lid on very low level for about 10 minutes or till the gram is cooked but firm. Remove from pan and keep aside. In the same pan heat the oil and fry the asafoetida and chopped green chillies for a few seconds. Add the chopped onions and saute till they are lightly browned. Add the hot spice mix (garam masala) cooked gram and salt to taste. Mix well and saute for a few seconds. Mix in a portion of the chopped coriander leaves and cook covered on low level for about 2 minutes. Put off the heat and mix in the lemon juice. Garnish with finely chopped coriander leaves. ']
Green Peas Curry(Vatanyachi Bhaji), Green peas (Vatana) cooked with potatoes and spices to give this simple but delicious dish.,Maharashtrian,"500 gramss shelled fresh green peas , 2 potatoes cubed , 1 teaspoons cumin seeds , 4 green chillies finely chopped , ½ teaspoons each of sugar and turmeric powder , ½ cups water , 2 tablespoons oil , 1 tablespoons each of grated coconut and lemon juice , 2 tablespoons finely chopped coriander leaves , salt to taste ",4,15,[' Heat the oil in a heavy-bottomed pan on medium level and splutter the cumin seeds. Add the green chillies and turmeric powder. Now add the potato cubes green peas sugar salt and water. Mix well and cook covered on low level for about 1 5 minutes or till the potatoes and peas are tender. Garnish with the lemon juice grated coconut and chopped fresh coriander. ']
Corn and Green Bell Pepper Curry(Makai Simla Mirch), Corn (Makai) and Green Bell Pepper (Simla Mirch) cooked with plain flour in milk and traditionally made in homes in Gujarat (a state in India).,Gujarati,"2 cups cooked corn kernels , 1 green bell peppers finely chopped , 1 teaspoons cumin seeds , 1 teaspoons ginger paste , 2 green chillies finely chopped , 2 tablespoons plain flour , 2 cups milk , 1 teaspoons sugar , ½ teaspoons white pepper powder , 4 tablespoons ghee (clarified butter) / butter / oil , salt to taste ",4,12,[' Heat the ghee / butter / oil in a heavy-bottomed pan on medium level and crackle the cumin seeds. Add the chopped green chillies and ginger paste. Fry lightly. Add the plain flour and fry on very low level for about 2 minutes. Mix in the corn and green bell peppers. Add the milk slowly whilst stirring taking care that no lumps are formed. Cook on low level for about 10 minutes or till the gravy thickens. Season with salt sugar and white pepper powder. ']
Gujarati Potato Curry(Bateta nu Shaak), Potatoes (Bateta) cooked with tomatoes and spices in a very typical Gujarati (Gujarat is a state of India) style.,Gujarati,"4 medium potatoes peeled and cubed , 1 teaspoons cumin seeds , ½ teaspoons mustard seeds , ½ teaspoons each of turmeric and asafoetida powders , 1 teaspoons red chilli powder , 1 teaspoons ginger-green chilly paste , 1 tomato(es) finely chopped , 1 tablespoons sugar , 1 cupss water , 1 tablespoons coriander-cumin seeds dry roasted and powdered , 2 tablespoons oil , salt to taste, finely chopped fresh coriander leaves to garnish ",4,17,[' Heat the oil in a heavy-bottomed pan on medium level and crackle the mustard and cumin seeds. Add the asafoetida turmeric and red chilli powders. Add the ginger-green chilly paste and saute briefly not letting it get dry. If it gets dry add a few drops of water and fry. Add the chopped tomatoes and fry for about 2 minutes or till they are soft and wilted. Mix in the potato cubes along with the water sugar and salt. Cover and cook on low level for about 1 5 minutes or till the potatoes are cooked and the gravy thickens. Mix in the coriander-cumin seed powder and keep covered for a while to trap in the aroma. Garnish with finely chopped fresh coriander leaves. ']
Tempered Cabbage with Coconut(Cabbage Upkari)," Cabbage tempered with mustard seeds and green chilly in coconut oil. As simple as that. Quick, tasty and nutritious all in one! ",Konkani,"1 medium green cabbage finely chopped / shredded , 1 teaspoons mustard seeds , 4 green chillies slit , 2 tablespoons oil (ideally coconut oil) , 2 tablespoons grated coconut , 2 teaspoons lemon juice (optional) , salt to taste ",4,12,[' Heat the oil in a heavy-bottomed pan on medium level till hot and crackle the mustard seeds. Drop in the slit green chillies and fry lightly. Add the shredded cabbage and mix in the salt. Cover and cook on low level for about 1 2 minutes or till the cabbage is cooked but green yet. Mix in the grated coconut. Garnish with lemon juice (optional). ']
Stir Fried French Beans(Beans Thoren), French beans stir fried with onions and spices in a typical Kerala (a state of southern India) style.,(Kerala),"4 cups chopped french beans , 1 big onions finely chopped , 1 teaspoons mustard seeds , 4 green chillies finely chopped , 1 teaspoons ginger finely chopped , ½ teaspoons turmeric powder , 2 tablespoons water , 2 tablespoons oil , 2 tablespoons grated coconut , 1 sprig curry leaves , 1 teaspoons lemon juice (optional) , salt to taste ",4,12,[' Heat the oil in a heavy-bottomed pan on medium level and crackle the mustard seeds. Add the curry leaves chopped green chillies and ginger. Fry lightly. Add the chopped onions and fry on medium level for about 2 minutes. Mix in the french beans turmeric and salt. Sprinkle the water and cook covered on low level for about 10 minutes or till the beans are cooked but firm. Mix in the grated coconut. Sprinkle the lemon juice before serving (optional). ']
Eggplant in Yoghurt Gravy(Dahi Baingan Kashmiri), Eggplant (Baingan) deep fried and cooked in a yoghurt (dahi) based gravy spiced up with typical Kashmiri spices.,Kashmiri,"4 big eggplants cut into roundels (thick slices) , 2 cupss yoghurt , 1 tablespoons fennel seed powder (saunf) , ½ teaspoons each of asafoetida and turmeric powders , 2 teaspoons each of red chilli and ginger powders , 4 green cardamoms , 2 tablespoons oil , salt to taste oil to deep fry finely chopped fresh coriander to garnish ",4,8,[' Wash the eggplant roundels pat dry and deep fry in hot oil till light brown in color. Drain on an absorbent paper. Beat the yoghurt along with salt till smooth. Heat the oil in a heavy-bottomed pan on medium level and drop in the green cardamoms and asafoetida. Fry briefly and add the yoghurt quickly. Mix in the spice powders. Cook on medium level for about 4 minutes. Add the fried eggplant roundels cover and cook on low level for about 4 minutes. Garnish with chopped fresh coriander. ']
Rajasthani Poppadom Curry(Paapad ki Sabzi), A delicacy from Rajasthani (a state in north India) of poppadoms cooked in yoghurt with spices. A treat to the spice lovers.,(Rajasthani),"4 medium sized raw poppadoms cut into , 1 squares , 1 teaspoons each of mustard and cumin seeds , ½ teaspoons each of asafoetida and turmeric powders , 1 teaspoons red chilli powder , 2 tablespoons yoghurt , 1 teaspoons chickpea / gram flour (besan) , 2 cups water , 2 tablespoons ghee (clarified butter) / butter / oil , 1 tablespoons chopped fresh coriander , salt to taste ",4,5,[' Heat the oil in a heavy-bottomed pan on medium level and crackle the mustard and cumin seeds. Drop in the asafoetida and fry lightly. Add the red chilli powder and yoghurt. Mix well and stir fry on medium level for about a minute or two. Mix in the turmeric powder chickpea / gram flour water and salt. Bring to a boil. Add the poppadoms and coriander leaves. Cook on low level for about 3 minutes or till the poppadoms are cooked. Adjust the consistency of the curry as desired. ']
Creamy Spinach(Malai Palak), Fresh tender spinach sauteed in butter with chillies and enriched with cream. Very quick and simply delicious. ,Vegetarian,"2 tablespoons ghee (clarified butter) / butter , 4 dry red chillies , 1 tablespoons finely chopped ginger, 2 green chillies slit , 600 grams (about 24 oz.) tender spinach washed and finely chopped , 1 teaspoons sugar , salt to taste , 2 tablespoons cream, finely chopped fresh coriander to garnish (optional) ",4,20,[' Heat the clarified butter in a heavy-based pan. Add the whole dry red chillies and fry till they darken. Add the ginger and fry till it is light brown. Add the green chillies and fry briefly. Add the chopped spinach sugar salt and mix well on high heat. Cook without covering on medium-high heat stirring frequently for about 20 minutes or till the spinach is cooked and dry. Mix in the cream. Garnish with chopped fresh coriander (optional). ']
Sweet and Tangy Turnips(Gur Wale Shalgam), Turnip is one of the favorite vegetables of the people of Punjab (north India) and this is the only way they would love to cook it. ,Punjabi,"500 grams (about 20 oz.) turnips peeled and cubed , 4 small green chillies chopped , salt to taste and a pinch of turmeric powder , 2 tablespoons ghee (clarified butter) / butter / oil , 1 onions finely chopped , 1 tablespoons grated ginger , ½ teaspoons red chilli powder , ½ teaspoons hot spice mix (garam masala) powder , 1 teaspoons coriander-cumin powder , 2 teaspoons jaggery or sugar , 1 teaspoons lime juice, finely chopped fresh coriander to garnish ",4,23,[' Combine turnips half of the green chillies salt and turmeric powder in a heavy-based pan. Add enough water. Cover and cook on low / medium heat for about 20 minutes or till the turnips have become very soft and mushy. Mash the cooked turnips with the back of a ladle whilst stirring on high heat so that it is completely mashed and dry. Heat the clarified butter in a pan and fry the onion on medium heat for about 3 minutes or till the onions are brown. Add the ginger and the remaining green chillies. Fry briefly till the ginger turns brown. Add the all the dry spice powders and mix well. Add the turnips and mash them with the back of a ladle whilst stirring on high heat so that it is completely mashed and dry. Add the jaggery or sugar and keep stirring to mix well. Put off the heat and mix in the lime juice. Garnish with chopped fresh coriander. ']
Okra Fry(Bhindi Fry), Okra slices stir-fried with sauteed onions and spices.  ,Vegetarian,"2 tablespoons oil , 4 big green chillies slit or as per taste , 1 tablespoons finely chopped ginger , 4 medium onions finely sliced , ½ teaspoons turmeric powder , 500 grams (about 20 oz.) okra washed, pat dried and sliced into fine strips lengthwise or cut into rings , salt to taste ",4,15,[' Heat the oil in a heavy-based pan and fry the green chillies and ginger briefly till the ginger turns brown. Add the onion slices and fry on medium heat for about 3 minutes or till the onions are just about transluscent (do not brown). Add the turmeric powder and mix well. Mix in the finely sliced okra stirring gently and briefly on high heat till it is well coated with the oil and looks glossy. Mix in the salt cover and cook on low for about 1 2 minutes or till the okra is tender and well cooked. Saute briefly and gently till the okra is well fried and starts sticking to the bottom of the pan. ']
Pepper Mushroom Fry(Khumb Kali Mirch)," Snow-white button mushrooms stir-fried with crushed blackpepper corns, herbs and spices. ",Vegetarian,"4 tablespoons oil , 6 green chillies slit , 1 tablespoons ginger-garlic paste , 2 medium onions chopped finely , 400 grams (about 16 oz.) button mushrooms quartered and blanched in hot , salted water , 1 teaspoons crushed black pepper , ½ teaspoons turmeric powder , ½ teaspoons hot spice mix (garam masala) powder , 1 teaspoons dry mint powder , 1 teaspoons dried fenugreek leaves (kasoori methi) powdered , 1 tablespoons cream , 2 teaspoons lime juice , salt to taste ",4,11,[' Heat the oil in a heavy-based pan and fry the green chillies and ginger-garlic paste briefly. Add the chopped onions and fry on medium heat for about 3 minutes or till the onions are pink. Add the mushrooms crushed blackpepper and the rest of the ingredients except for the cream lime juice and salt. Stir-fry on high heat till it is well coated with the oil and looks glossy. Mix in the salt cover and cook on medium / low heat for about 8 minutes or till the mushroom is cooked but not soggy. Reduce the heat to low. Mix in the cream and lime juice. Remove from heat and keep covered for 2 minutes ']
Spicy South Indian Cabbage(Cabbage Poriyal), Shredded cabbage tempered and cooked with spices and grated coconut. ,Vegetarian,"2 tablespoons oil , ½ teaspoons mustard seeds , ½ teaspoons split black gram , 4 green chillies chopped , 6 curry leaves , 2 medium onions chopped finely , 1 medium cabbage shredded , 1 teaspoons cumin powder , ½ teaspoons black pepper powder , 1 garlic clove grated , 4 tablespoons grated coconut a pinch of turmeric powder and , salt to taste , 1 teaspoons lime juice ",4,8,[' Heat the oil in a heavy-based pan. Drop in the mustard seeds and let them crackle. Add the split black gram and fry till it is light brown. Add the green chillies curry leaves and the chopped onions. Fry on medium heat for about 3 minutes or till the onions are pale. Add the cabbage and the rest of the ingredients except the salt and lime juice. Stir-fry on high heat till the cabbage is well coated with the oil and looks glossy. Mix in the salt cover and cook on low heat for about 5 minutes or till the cabbage is yet crunchy but cooked. Mix in the lime juice. Keep covered for 2 minutes ']
Raw Papaya in Coconut Gravy(Popashpalache Amshi Kocchholu), Raw papaya cubes cooked with jaggery and simmered in a traditional Manglorian coconut gravy and seasoned with fried onions. A sweet and tangy delicacy served with plain rice. ,Vegetarian,"1 medium raw papaya peeled and cubed , 2 tablespoons jaggery crushed or grated , salt to taste , 2 cups grated coconut , 4 dry red chillies (whole) roasted in coconut oil , 1 tablespoons tamarind pulp , 2 tablespoons coconut oil , 1 onions chopped fine ",4,15,[' Cook the raw papaya cubes in some water on medium level for about 5 minutes or till they are almost cooked. Add the jaggery and salt to taste. Cook further for about 3 minutes or till the papaya cubes are tender but not overcooked. Meanwhile grind the coconut dry red chillies and tamarind to a smooth paste with little water. Add the paste to the cooked papaya along with water just enought to make a medium consistency gravy (not too thick nor too thin). Mix gently. Add salt if required. Bring to a boil and simmer for about 3 minutes. Heat the coconut oil in a pan. Add the chopped onions and fry on low level stirring frequently for about 4 minutes or till they are uniformly browned taking care not to burn them. Pour this over the curry and keep tightly covered for sometime before serving. Mix gently while serving. ']
Gherkins with Spicy Coconut Paste(Tendle Bhutthi), Gherkin rings stir-fried with onions and cooked with a spicy coconut paste.,Vegetarian,"1 cups gherkin rings , 2 cups grated coconut , 4 dry red chillies (whole) roasted in coconut oil , 2 teaspoons tamarind pulp , 1 tablespoons coriander seeds , 2 tablespoons coconut oil , 1 medium onions chopped fine , salt to taste ",4,15,[' Toss the gherkin rings in some salt and keep aside for about 30 minutes. Drain and squeeze them to remove the salt water. Meanwhile grind the coconut dry red chillies tamarind and coriander seeds to a dry coarse paste with very little water. Heat the coconut oil in a pan and fry the onions on medium-low level for about 2 minutes or till transparent. Add the gherkin rings and stir fry on high for 2 minutes. Cover and cook on low for about 5 minutes or till the gherkins are cooked. Add the coconut paste and salt to taste. Stir-fry for about 2 minutes. Cover and cook on low for about 4 minutes. ']
Potatoes with Green Peas(Aloo Matar), Green peas (matar) cooked along with Potatoes (aloo) and spices is a very simple and popular north Indian preparation.,Punjabi,"2 tablespoons butter / ghee (clarified butter) / oil , 1 teaspoons cumin seeds , ½ teaspoons asafoetida powder , 2 tablespoons ginger finely chopped , 4 green chillies finely chopped , ½ teaspoons turmeric powder , 1 cups shelled green peas , 4 potatoes unpeeled and cubed , 2 tablespoons finely chopped fresh coriander , salt to taste , ½ cups hot water , 1 teaspoons lemon juice ",4,15,[' Heat the butter / ghee / oil in a heavy-bottomed pan on medium level and crackle the cumin seeds. Add the asafoetida powder ginger and green chillies. Fry briefly till the raw smell of ginger goes off. Add the green peas and potato cubes. Mix well. Add the hot water half the coriander leaves and salt to taste. Mix well and bring to a boil. Cook covered on low level for about 1 5 minutes or till the peas and potatoes are tender and cooked. Mix in the lemon juice and the remaining coriander leaves. ']
